,Holiday,M-1112,M-45,M-121,WeekDay,WeekEnd,LastDays,summerBreak,FirstMonth,LastMonth,SummerWinter,FirstHalf,Season1_2,Season2_1,weekOfMonth,DayLength,WeekSeasonAvg,Lag7,pred,real,Date,error,abserror,bigerror
7,0,False,False,False,3,0,0,0,0,0,1,1,0,1,2,34,1176.5397042093284,1213.9397042093287,570.778180118099,118.93970420932874,2018-02-08,-451.8384759087703,451.8384759087703,False
8,0,False,False,False,4,0,0,0,0,0,1,1,0,1,2,34,1072.698324898984,383.93970420932874,41.22757444507624,-95.06029579067126,2018-02-09,-136.2878702357475,136.2878702357475,False
9,0,False,False,False,5,1,0,0,0,0,1,1,0,1,2,34,335.1397042093289,-313.06029579067126,-673.4566253488965,-651.0602957906713,2018-02-10,22.39632955822526,22.39632955822526,False
10,0,False,False,False,6,1,0,0,0,0,1,1,0,1,2,34,-430.4936291240044,-1183.0602957906713,-1484.7333046564363,-1197.0602957906713,2018-02-11,287.67300886576504,287.67300886576504,False
11,0,False,False,False,0,0,0,0,0,0,1,1,0,1,3,34,1473.2397042093282,608.9397042093287,393.18848905322284,397.93970420932874,2018-02-12,4.7512151561059,4.7512151561059,False
12,0,False,False,False,1,0,0,0,0,0,1,1,0,1,3,34,1168.6063708759953,388.93970420932874,139.00465043156782,-192.06029579067126,2018-02-13,-331.0649462222391,331.0649462222391,False
13,0,False,False,False,2,0,0,0,0,0,1,1,0,1,3,34,1102.5397042093289,394.93970420932874,109.09760028763867,354.93970420932874,2018-02-14,245.84210392169007,245.84210392169007,False
14,0,False,False,False,3,0,0,0,0,0,1,1,0,1,3,34,1176.5397042093284,118.93970420932874,-29.655481711379252,173.93970420932874,2018-02-15,203.595185920708,203.595185920708,False
15,0,False,False,False,4,0,0,0,0,0,1,1,0,1,3,34,1072.698324898984,-95.06029579067126,-201.9208912761137,237.93970420932874,2018-02-16,439.86059548544245,439.86059548544245,False
16,0,False,False,False,5,1,0,0,0,0,1,1,0,1,3,34,335.1397042093289,-651.0602957906713,-834.8239017011433,-610.0602957906713,2018-02-17,224.76360591047205,224.76360591047205,False
17,0,False,False,False,6,1,0,0,0,0,1,1,0,1,3,34,-430.4936291240044,-1197.0602957906713,-1458.177847990687,-1321.0602957906713,2018-02-18,137.11755220001578,137.11755220001578,False
18,0,False,False,False,0,0,0,0,0,0,1,1,0,1,4,34,1473.2397042093282,397.93970420932874,305.4822839765484,227.93970420932874,2018-02-19,-77.54257976721965,77.54257976721965,False
19,0,False,False,False,1,0,0,0,0,0,1,1,0,1,4,34,1168.6063708759953,-192.06029579067126,-163.30467568417635,-66.06029579067126,2018-02-20,97.24437989350508,97.24437989350508,False
20,0,False,False,False,2,0,0,0,0,0,1,1,0,1,4,34,1102.5397042093289,354.93970420932874,120.57283763712803,-177.06029579067126,2018-02-21,-297.6331334277993,297.6331334277993,False
21,0,False,False,False,3,0,0,0,0,0,1,1,0,1,4,34,1176.5397042093284,173.93970420932874,36.9205569859796,-64.06029579067126,2018-02-22,-100.98085277665086,100.98085277665086,False
22,0,False,False,False,4,0,0,0,0,0,1,1,0,1,4,34,1072.698324898984,237.93970420932874,25.89749241816753,167.93970420932874,2018-02-23,142.0422117911612,142.0422117911612,False
23,0,False,False,False,5,1,0,0,0,0,1,1,0,1,4,35,335.1397042093289,-610.0602957906713,-662.3017020619295,-1001.0602957906713,2018-02-24,-338.75859372874174,338.75859372874174,False
24,0,False,False,False,6,1,0,0,0,0,1,1,0,1,4,35,-430.4936291240044,-1321.0602957906713,-1381.3570401661937,-1606.0602957906713,2018-02-25,-224.7032556244776,224.7032556244776,False
25,0,False,False,False,0,0,0,0,0,0,1,1,0,1,5,35,1473.2397042093282,227.93970420932874,355.622703779969,-59.06029579067126,2018-02-26,-414.6829995706403,414.6829995706403,False
26,0,False,False,False,1,0,1,0,0,0,1,1,0,1,5,35,1168.6063708759953,-66.06029579067126,229.5013339743855,-104.06029579067126,2018-02-27,-333.56162976505675,333.56162976505675,False
27,0,False,False,False,2,0,1,0,0,0,1,1,0,1,5,35,1102.5397042093289,-177.06029579067126,131.73329690729042,-233.06029579067126,2018-02-28,-364.7935926979617,364.7935926979617,False
28,0,False,False,False,3,0,0,0,0,0,1,1,0,0,1,35,-29.049986512320746,-64.06029579067126,-344.55684332117517,-19.060295790671262,2018-03-01,325.4965475305039,325.4965475305039,False
29,0,False,False,False,4,0,0,0,0,0,1,1,0,0,1,35,5.5825613521858815,167.93970420932874,-204.0443396486803,-325.06029579067126,2018-03-02,-121.01595614199096,121.01595614199096,False
30,0,False,False,False,5,1,0,0,0,0,1,1,0,0,1,35,-702.9339800011978,-1001.0602957906713,-1181.1473769888817,-952.0602957906713,2018-03-03,229.0870811982104,229.0870811982104,False
31,0,False,False,False,6,1,0,0,0,0,1,1,0,0,1,35,-1278.2582124573375,-1606.0602957906713,-1764.3785169698858,-1550.0602957906713,2018-03-04,214.31822117921456,214.31822117921456,False
32,0,False,False,False,0,0,0,0,0,0,1,1,0,0,2,35,180.58864037954157,-59.06029579067126,-202.35148140046886,14.939704209328738,2018-03-05,217.2911856097976,217.2911856097976,False
33,0,False,False,False,1,0,0,0,0,0,1,1,0,0,2,35,-23.22871684330284,-104.06029579067126,-315.650584072589,506.93970420932874,2018-03-06,822.5902882819178,822.5902882819178,False
34,0,False,False,False,2,0,0,0,0,0,1,1,0,0,2,35,11.771283156697159,-233.06029579067126,-384.37758217234114,293.93970420932874,2018-03-07,678.3172863816699,678.3172863816699,False
