labels,satisfaction_v2,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
0,0.7046293494704993,0.0,1.0,43.28674735249622,0.0,0.7618154311649017,1995.1627534039335,2.8593645990922845,2.9441149773071102,2.9439334341906203,3.00732223903177,3.32535552193646,3.70714069591528,3.741906202723147,3.6497730711043874,3.542965204236006,3.588018154311649,3.6536459909228443,3.3162783661119515,3.6561875945537063,3.4314674735249624,14.674856278366113,15.101137915339098
1,0.2113461898520876,1.0,0.9964051675716158,39.848792360981086,0.7014416775884665,0.0,2071.828421643887,2.7190788241902264,3.4415278037820634,2.6268114585283655,2.9561879797790676,3.0976596143044373,2.7050365100168507,3.0703613555513947,3.1154465455907134,3.1606815203145477,3.1715783561130872,3.5591462272982586,3.166148661299382,3.588653810147912,3.113873806403295,14.706796480059914,15.125065764750094
2,0.8311772315653299,0.0,0.9954224300925465,38.38272464921883,1.0,0.06547915215444323,1533.9608418748135,3.2226092148472483,3.205045278137128,3.084386506120012,2.9983580455766745,3.3902875908050554,3.901532490795104,3.86023484923873,3.7933127674395464,3.73698875510001,3.797293263011245,3.8385909045676185,3.557965966762862,3.855159717384814,3.6103592397253457,14.565379639765151,15.009134015472922
3,0.7483260828447135,1.0,1.0,43.14155475695101,0.05084168715717798,1.0,2177.244372990354,2.7530168337431435,2.97491961414791,2.91893323245697,2.998675997730282,3.3824853414034424,3.8669945148477396,3.89563079250993,3.734859088329866,3.6740684698316626,3.6756572725553243,3.7791564214110083,3.488481180253452,3.7783620200491774,3.560128617363344,14.586041233213543,14.732766796919458
4,0.24025093251949814,0.45952017633095965,0.0,30.27513563919973,0.0005510342488979315,0.39127670396744657,2021.537004069176,2.713546965072906,2.380425567989149,2.7051119023397763,2.989487962021024,3.0441251271617498,2.7149033570701935,3.0057222787385554,3.0588758901322484,3.2346982027806037,3.2207527975584944,3.693794506612411,3.2224059003051884,3.6991353001017293,3.060147507629705,15.045396744659206,15.51003060183611
