,prices.amountAvg,prices.isSale,weight
prices.amountAvg,1.0,0.1818148058311882,0.19547949254153862
prices.isSale,0.1818148058311882,1.0,0.20250085612727978
weight,0.19547949254153862,0.20250085612727978,1.0
